date,level,change_pct
1985-10-01,112.14,
1985-10-02,110.82,-1.1771
1985-10-03,110.87,0.0451
1985-10-04,110.07,-0.7216
1985-10-07,108.2,-1.6989
1985-10-08,107.16,-0.9612
1985-10-09,108.63,1.3718
1985-10-10,109.43,0.7364
1985-10-11,111.05,1.4804
1985-10-14,113.18,1.9181
1985-10-15,113.38,0.1767
1985-10-16,114.32,0.8291
1985-10-17,114.74,0.3674
1985-10-18,114.32,-0.366
1985-10-21,113.68,-0.5598
1985-10-22,114.44,0.6685
1985-10-23,115.07,0.5505
1985-10-24,115.49,0.365
1985-10-25,113.91,-1.3681
1985-10-28,113.82,-0.079
1985-10-29,115.4,1.3882
1985-10-30,115.77,0.3206
1985-10-31,115.48,-0.2505
1985-11-01,116.28,0.6928
1985-11-04,116.04,-0.2064
1985-11-05,116.44,0.3447
1985-11-06,117.38,0.8073
1985-11-07,117.62,0.2045
1985-11-08,119.26,1.3943
1985-11-11,120.4,0.9559
1985-11-12,121.82,1.1794
1985-11-13,121.17,-0.5336
1985-11-14,121.83,0.5447
1985-11-15,122.18,0.2873
1985-11-18,121.96,-0.1801
1985-11-19,122.57,0.5002
1985-11-20,122.2,-0.3019
1985-11-21,123.61,1.1538
1985-11-22,123.97,0.2912
1985-11-25,123.14,-0.6695
1985-11-26,123.95,0.6578
1985-11-27,125.77,1.4683
1985-11-29,126.06,0.2306
1985-12-02,125.18,-0.6981
1985-12-03,125.23,0.0399
1985-12-04,127.94,2.164
1985-12-05,128.46,0.4064
1985-12-06,126.96,-1.1677
1985-12-09,127.49,0.4175
1985-12-10,127.97,0.3765
1985-12-11,129.18,0.9455
1985-12-12,129.76,0.449
1985-12-13,132.12,1.8187
1985-12-16,132.61,0.3709
1985-12-17,131.54,-0.8069
1985-12-18,131.14,-0.3041
1985-12-19,131.93,0.6024
1985-12-20,132.26,0.2501
1985-12-23,130.73,-1.1568
1985-12-24,130.03,-0.5355
1985-12-26,130.35,0.2461
1985-12-27,131.49,0.8746
1985-12-30,131.95,0.3498
1985-12-31,132.29,0.2577
1986-01-02,131.26,-0.7786
1986-01-03,130.55,-0.5409
1986-01-06,130.35,-0.1532
1986-01-07,132.79,1.8719
1986-01-08,131.16,-1.2275
1986-01-09,128.8,-1.7993
1986-01-10,129.57,0.5978
1986-01-13,129.1,-0.3627
1986-01-14,129.18,0.062
1986-01-15,131.54,1.8269
1986-01-16,133.06,1.1555
1986-01-17,132.77,-0.2179
1986-01-20,131.6,-0.8812
1986-01-21,131.09,-0.3875
1986-01-22,129.62,-1.1214
1986-01-23,129.27,-0.27
1986-01-24,130.2,0.7194
1986-01-27,130.79,0.4531
1986-01-28,131.99,0.9175
1986-01-29,133.06,0.8107
1986-01-30,132.19,-0.6538
1986-01-31,132.93,0.5598
1986-02-03,134.24,0.9855
1986-02-04,134.6,0.2682
1986-02-05,135.71,0.8247
1986-02-06,136.64,0.6853
1986-02-07,137.42,0.5708
1986-02-10,138.12,0.5094
1986-02-11,138.26,0.1014
1986-02-12,138.66,0.2893
1986-02-13,139.16,0.3606
1986-02-14,140.16,0.7186
1986-02-18,140.74,0.4138
1986-02-19,139.64,-0.7816
1986-02-20,139.95,0.222
1986-02-21,141.15,0.8574
1986-02-24,140.2,-0.673
1986-02-25,139.4,-0.5706
1986-02-26,138.88,-0.373
1986-02-27,140.52,1.1809
1986-02-28,140.43,-0.064
1986-03-03,139.74,-0.4913
1986-03-04,140.54,0.5725
1986-03-05,140.24,-0.2135
1986-03-06,140.8,0.3993
1986-03-07,140.71,-0.0639
1986-03-10,142.43,1.2224
1986-03-11,145.35,2.0501
1986-03-12,146.62,0.8738
1986-03-13,147.01,0.266
1986-03-14,147.0,-0.0068
1986-03-17,146.37,-0.4286
1986-03-18,147.62,0.854
1986-03-19,147.48,-0.0948
1986-03-20,147.8,0.217
1986-03-21,148.01,0.1421
1986-03-24,147.09,-0.6216
1986-03-25,147.49,0.2719
1986-03-26,147.26,-0.1559
1986-03-27,148.38,0.7606
1986-03-31,148.86,0.3235
1986-04-01,148.45,-0.2754
1986-04-02,148.92,0.3166
1986-04-03,148.71,-0.141
1986-04-04,147.04,-1.123
1986-04-07,146.05,-0.6733
1986-04-08,148.93,1.9719
1986-04-09,149.05,0.0806
1986-04-10,151.76,1.8182
1986-04-11,152.66,0.593
1986-04-14,153.93,0.8319
1986-04-15,154.92,0.6431
1986-04-16,158.9,2.5691
1986-04-17,159.05,0.0944
1986-04-18,157.66,-0.8739
1986-04-21,158.52,0.5455
1986-04-22,157.86,-0.4164
1986-04-23,157.46,-0.2534
1986-04-24,159.85,1.5178
1986-04-25,160.46,0.3816
1986-04-28,159.9,-0.349
1986-04-29,158.25,-1.0319
1986-04-30,154.91,-2.1106
1986-05-01,154.21,-0.4519
1986-05-02,155.01,0.5188
1986-05-05,157.14,1.3741
1986-05-06,157.12,-0.0127
1986-05-07,156.26,-0.5474
1986-05-08,157.16,0.576
1986-05-09,157.91,0.4772
1986-05-12,157.75,-0.1013
1986-05-13,157.05,-0.4437
1986-05-14,157.01,-0.0255
1986-05-15,155.76,-0.7961
1986-05-16,154.99,-0.4944
1986-05-19,155.31,0.2065
1986-05-20,157.01,1.0946
1986-05-21,157.44,0.2739
1986-05-22,159.63,1.391
1986-05-23,160.16,0.332
1986-05-27,161.18,0.6369
1986-05-28,161.3,0.0745
1986-05-29,161.62,0.1984
1986-05-30,163.16,0.9529
1986-06-02,162.03,-0.6926
1986-06-03,162.11,0.0494
1986-06-04,161.82,-0.1789
1986-06-05,162.36,0.3337
1986-06-06,161.88,-0.2956
1986-06-09,158.61,-2.02
1986-06-10,158.1,-0.3215
1986-06-11,160.04,1.2271
1986-06-12,160.37,0.2062
1986-06-13,162.35,1.2346
1986-06-16,160.8,-0.9547
1986-06-17,158.57,-1.3868
1986-06-18,158.48,-0.0568
1986-06-19,159.28,0.5048
1986-06-20,159.59,0.1946
1986-06-23,159.55,-0.0251
1986-06-24,160.8,0.7835
1986-06-25,162.0,0.7463
1986-06-26,161.72,-0.1728
1986-06-27,161.62,-0.0618
1986-06-30,162.62,0.6187
1986-07-01,163.32,0.4305
1986-07-02,163.96,0.3919
1986-07-03,164.51,0.3354
1986-07-07,157.62,-4.1882
1986-07-08,153.26,-2.7661
1986-07-09,155.41,1.4028
1986-07-10,154.29,-0.7207
1986-07-11,152.85,-0.9333
1986-07-14,149.29,-2.3291
1986-07-15,146.26,-2.0296
1986-07-16,147.4,0.7794
1986-07-17,148.46,0.7191
1986-07-18,147.76,-0.4715
1986-07-21,147.07,-0.467
1986-07-22,147.4,0.2244
1986-07-23,147.18,-0.1493
1986-07-24,147.28,0.0679
1986-07-25,148.26,0.6654
1986-07-28,145.51,-1.8548
1986-07-29,144.21,-0.8934
1986-07-30,144.52,0.215
1986-07-31,144.71,0.1315
1986-08-01,144.19,-0.3593
1986-08-04,142.52,-1.1582
1986-08-05,141.86,-0.4631
1986-08-06,140.54,-0.9305
1986-08-07,140.7,0.1138
1986-08-08,142.29,1.1301
1986-08-11,145.44,2.2138
1986-08-12,147.06,1.1139
1986-08-13,148.84,1.2104
