date,level,change_pct
1927-12-30,17.66,
1928-01-03,17.76,0.5663
1928-01-04,17.72,-0.2252
1928-01-05,17.55,-0.9594
1928-01-06,17.66,0.6268
1928-01-09,17.5,-0.906
1928-01-10,17.37,-0.7429
1928-01-11,17.35,-0.1151
1928-01-12,17.47,0.6916
1928-01-13,17.58,0.6297
1928-01-16,17.29,-1.6496
1928-01-17,17.3,0.0578
1928-01-18,17.26,-0.2312
1928-01-19,17.38,0.6952
1928-01-20,17.48,0.5754
1928-01-23,17.64,0.9153
1928-01-24,17.71,0.3968
1928-01-25,17.52,-1.0728
1928-01-26,17.63,0.6279
1928-01-27,17.69,0.3403
1928-01-30,17.49,-1.1306
1928-01-31,17.57,0.4574
1928-02-01,17.53,-0.2277
1928-02-02,17.63,0.5705
1928-02-03,17.4,-1.3046
1928-02-06,17.45,0.2874
1928-02-07,17.44,-0.0573
1928-02-08,17.49,0.2867
1928-02-09,17.55,0.3431
1928-02-10,17.54,-0.057
1928-02-14,17.44,-0.5701
1928-02-15,17.4,-0.2294
1928-02-16,17.35,-0.2874
1928-02-17,17.04,-1.7867
1928-02-20,16.95,-0.5282
1928-02-21,17.11,0.944
1928-02-23,17.13,0.1169
1928-02-24,17.18,0.2919
1928-02-27,17.11,-0.4075
1928-02-28,17.16,0.2922
1928-02-29,17.26,0.5828
1928-03-01,17.3,0.2317
1928-03-02,17.3,0.0
1928-03-05,17.57,1.5607
1928-03-06,17.67,0.5692
1928-03-07,17.58,-0.5093
1928-03-08,17.64,0.3413
1928-03-09,17.93,1.644
1928-03-12,18.0,0.3904
1928-03-13,17.92,-0.4444
1928-03-14,17.93,0.0558
1928-03-15,18.07,0.7808
1928-03-16,18.26,1.0515
1928-03-19,18.36,0.5476
1928-03-20,18.46,0.5447
1928-03-21,18.65,1.0293
1928-03-22,18.6,-0.2681
1928-03-23,18.78,0.9677
1928-03-26,19.05,1.4377
1928-03-27,18.94,-0.5774
1928-03-28,18.89,-0.264
1928-03-29,18.95,0.3176
1928-03-30,19.28,1.7414
1928-04-02,18.91,-1.9191
1928-04-03,19.02,0.5817
1928-04-04,18.99,-0.1577
1928-04-05,19.23,1.2638
1928-04-09,19.27,0.208
1928-04-10,19.1,-0.8822
1928-04-11,19.44,1.7801
1928-04-12,19.41,-0.1543
1928-04-13,19.73,1.6486
1928-04-16,19.68,-0.2534
1928-04-17,19.52,-0.813
1928-04-18,19.52,0.0
1928-04-19,19.63,0.5635
1928-04-20,19.34,-1.4773
1928-04-23,19.15,-0.9824
1928-04-24,19.25,0.5222
1928-04-25,19.33,0.4156
1928-04-26,19.47,0.7243
1928-04-27,19.68,1.0786
1928-04-30,19.75,0.3557
1928-05-01,19.78,0.1519
1928-05-02,19.83,0.2528
1928-05-03,19.93,0.5043
1928-05-04,20.24,1.5554
1928-05-07,20.41,0.8399
1928-05-08,20.27,-0.6859
1928-05-09,20.24,-0.148
1928-05-10,20.21,-0.1482
1928-05-11,20.36,0.7422
1928-05-14,20.44,0.3929
1928-05-15,20.39,-0.2446
1928-05-16,20.05,-1.6675
1928-05-17,20.12,0.3491
1928-05-18,19.92,-0.994
1928-05-21,19.63,-1.4558
1928-05-22,19.36,-1.3754
1928-05-23,19.75,2.0145
1928-05-24,19.87,0.6076
1928-05-25,19.9,0.151
1928-05-28,19.57,-1.6583
1928-05-29,19.82,1.2775
1928-05-31,20.0,0.9082
1928-06-01,20.07,0.35
1928-06-04,19.8,-1.3453
1928-06-05,19.85,0.2525
1928-06-06,19.66,-0.9572
1928-06-07,19.61,-0.2543
1928-06-08,19.37,-1.2239
1928-06-11,18.68,-3.5622
1928-06-12,18.34,-1.8201
1928-06-13,18.89,2.9989
1928-06-14,19.05,0.847
1928-06-15,18.74,-1.6273
1928-06-18,18.4,-1.8143
1928-06-19,18.34,-0.3261
1928-06-20,18.57,1.2541
1928-06-21,18.56,-0.0539
1928-06-22,18.54,-0.1078
1928-06-25,18.47,-0.3776
1928-06-26,18.68,1.137
1928-06-27,18.86,0.9636
1928-06-28,19.07,1.1135
1928-06-29,19.14,0.3671
1928-07-02,18.98,-0.8359
1928-07-03,19.29,1.6333
1928-07-05,19.48,0.985
1928-07-06,19.39,-0.462
1928-07-09,19.46,0.361
1928-07-10,19.43,-0.1542
1928-07-11,18.95,-2.4704
1928-07-12,18.81,-0.7388
1928-07-13,18.96,0.7974
1928-07-16,18.7,-1.3713
1928-07-17,18.8,0.5348
1928-07-18,19.03,1.2234
1928-07-19,18.99,-0.2102
1928-07-20,19.03,0.2106
1928-07-23,19.12,0.4729
1928-07-24,19.09,-0.1569
1928-07-25,19.2,0.5762
1928-07-26,19.24,0.2083
1928-07-27,19.42,0.9356
1928-07-30,19.47,0.2575
1928-07-31,19.43,-0.2054
1928-08-01,19.42,-0.0515
1928-08-02,19.33,-0.4634
1928-08-03,19.36,0.1552
1928-08-06,19.58,1.1364
1928-08-07,19.49,-0.4597
1928-08-08,19.25,-1.2314
1928-08-09,19.3,0.2597
1928-08-10,19.25,-0.2591
1928-08-13,19.29,0.2078
1928-08-14,19.13,-0.8294
1928-08-15,19.47,1.7773
1928-08-16,19.61,0.7191
1928-08-17,19.64,0.153
1928-08-20,19.77,0.6619
1928-08-21,20.02,1.2645
1928-08-22,20.0,-0.0999
1928-08-23,20.02,0.1
1928-08-24,20.34,1.5984
1928-08-27,20.38,0.1967
1928-08-28,20.54,0.7851
1928-08-29,20.58,0.1947
1928-08-30,20.61,0.1458
1928-08-31,20.87,1.2615
1928-09-04,20.97,0.4792
1928-09-05,21.07,0.4769
1928-09-06,20.94,-0.617
1928-09-07,21.09,0.7163
1928-09-10,20.92,-0.8061
1928-09-11,21.08,0.7648
1928-09-12,21.16,0.3795
1928-09-13,21.14,-0.0945
1928-09-14,21.14,0.0
1928-09-17,21.33,0.8988
1928-09-18,21.18,-0.7032
1928-09-19,21.18,0.0
1928-09-20,21.22,0.1889
1928-09-21,21.36,0.6598
1928-09-24,21.43,0.3277
1928-09-25,21.41,-0.0933
1928-09-26,21.4,-0.0467
1928-09-27,21.13,-1.2617
1928-09-28,21.14,0.0473
1928-10-01,21.36,1.0407
1928-10-02,21.26,-0.4682
1928-10-03,21.19,-0.3293
1928-10-04,21.26,0.3303
1928-10-05,21.22,-0.1881
1928-10-08,21.11,-0.5184
1928-10-09,21.18,0.3316
1928-10-10,21.41,1.0859
1928-10-11,21.51,0.4671
1928-10-15,21.65,0.6509
1928-10-16,21.72,0.3233
1928-10-17,21.79,0.3223
1928-10-18,21.84,0.2295
1928-10-19,21.96,0.5495
1928-10-22,21.81,-0.6831
1928-10-23,21.95,0.6419
1928-10-24,21.99,0.1822
1928-10-25,21.91,-0.3638
1928-10-26,21.65,-1.1867
1928-10-29,22.0,1.6166
1928-10-30,21.76,-1.0909
1928-10-31,21.68,-0.3676
1928-11-01,21.99,1.4299
1928-11-02,21.95,-0.1819
1928-11-05,22.24,1.3212
1928-11-07,22.24,0.0
1928-11-08,22.39,0.6745
1928-11-09,22.55,0.7146
1928-11-12,22.84,1.286
1928-11-13,22.91,0.3065
1928-11-14,22.91,0.0
1928-11-15,23.03,0.5238
1928-11-16,23.37,1.4763
1928-11-19,23.37,0.0
1928-11-20,23.57,0.8558
1928-11-21,23.22,-1.4849
1928-11-22,23.52,1.292
1928-11-23,23.7,0.7653
1928-11-26,23.8,0.4219
1928-11-27,23.91,0.4622
1928-11-28,24.19,1.1711
1928-11-30,24.28,0.3721
1928-12-03,23.85,-1.771
1928-12-04,23.91,0.2516
1928-12-05,23.81,-0.4182
1928-12-06,22.91,-3.7799
1928-12-07,22.36,-2.4007
1928-12-10,22.31,-0.2236
1928-12-11,22.74,1.9274
1928-12-12,22.52,-0.9675
1928-12-13,22.48,-0.1776
1928-12-14,22.53,0.2224
1928-12-17,22.44,-0.3995
1928-12-18,22.7,1.1586
1928-12-19,22.98,1.2335
1928-12-20,23.07,0.3916
1928-12-21,23.33,1.127
1928-12-24,23.54,0.9001
1928-12-26,23.44,-0.4248
1928-12-27,23.64,0.8532
1928-12-28,23.98,1.4382
1928-12-31,24.35,1.543
1929-01-02,24.81,1.8891
1929-01-03,24.86,0.2015
1929-01-04,24.85,-0.0402
1929-01-07,24.25,-2.4145
1929-01-08,24.17,-0.3299
1929-01-09,24.54,1.5308
1929-01-10,24.58,0.163
1929-01-11,24.54,-0.1627
1929-01-14,24.59,0.2037
1929-01-15,24.23,-1.464
1929-01-16,24.56,1.3619
1929-01-17,24.69,0.5293
1929-01-18,24.77,0.324
1929-01-21,24.86,0.3633
1929-01-22,25.07,0.8447
1929-01-23,25.22,0.5983
1929-01-24,25.06,-0.6344
1929-01-25,25.48,1.676
1929-01-28,25.35,-0.5102
1929-01-29,25.36,0.0394
1929-01-30,25.45,0.3549
1929-01-31,25.74,1.1395
1929-02-01,25.84,0.3885
1929-02-04,25.64,-0.774
