date,level,change_pct
1885-02-16,30.9226,
1885-02-17,31.3365,1.3385
1885-02-18,31.4744,0.4401
1885-02-19,31.6765,0.6421
1885-02-20,31.4252,-0.7933
1885-02-21,31.8933,1.4896
1885-02-24,32.3318,1.3749
1885-02-25,32.8491,1.6
1885-02-26,32.3318,-1.5748
1885-02-27,31.7651,-1.7528
1885-02-28,31.8982,0.419
1885-03-02,31.9425,0.1389
1885-03-03,31.8292,-0.3547
1885-03-04,31.568,-0.8206
1885-03-05,31.7799,0.6712
1885-03-06,31.7109,-0.2171
1885-03-07,32.1987,1.5383
1885-03-09,32.2874,0.2755
1885-03-10,32.2923,0.0152
1885-03-11,32.514,0.6865
1885-03-12,32.2184,-0.9091
1885-03-13,31.9819,-0.7341
1885-03-14,32.1297,0.4621
1885-03-16,31.9868,-0.4448
1885-03-17,31.6518,-1.0473
1885-03-18,31.4695,-0.576
1885-03-19,31.0753,-1.2526
1885-03-20,31.0014,-0.2378
1885-03-21,30.5875,-1.3351
1885-03-23,30.829,0.7895
1885-03-24,30.4841,-1.1188
1885-03-25,30.7403,0.8404
1885-03-26,30.9965,0.8334
1885-03-27,31.0063,0.0316
1885-03-28,30.962,-0.1429
1885-03-30,30.6023,-1.1617
1885-03-31,30.7107,0.3542
1885-04-01,30.7452,0.1123
1885-04-02,30.7994,0.1763
1885-04-04,30.7748,-0.0799
1885-04-06,30.7452,-0.0962
1885-04-07,30.3461,-1.2981
1885-04-08,30.4545,0.3572
1885-04-09,31.2133,2.4916
1885-04-10,30.8832,-1.0576
1885-04-11,31.4054,1.6909
1885-04-13,31.3857,-0.0627
1885-04-14,31.5188,0.4241
1885-04-15,32.0854,1.7977
1885-04-16,31.7897,-0.9216
1885-04-17,31.5779,-0.6663
1885-04-18,31.3857,-0.6087
1885-04-20,31.5779,0.6124
1885-04-21,31.499,-0.2499
1885-04-22,31.5927,0.2975
1885-04-23,31.6321,0.1247
1885-04-24,31.4843,-0.4672
1885-04-25,31.4498,-0.1096
1885-04-27,31.5188,0.2194
1885-04-28,31.5927,0.2345
1885-04-29,31.6321,0.1247
1885-04-30,31.7306,0.3114
1885-05-01,31.5188,-0.6675
1885-05-02,31.435,-0.2659
1885-05-04,30.6614,-2.461
