date,level,change_pct
1992-01-02,3172.4,
1992-01-03,3201.5,0.9173
1992-01-06,3200.1,-0.0437
1992-01-07,3204.8,0.1469
1992-01-08,3203.9,-0.0281
1992-01-09,3209.5,0.1748
1992-01-10,3199.5,-0.3116
1992-01-13,3185.6,-0.4344
1992-01-14,3246.2,1.9023
1992-01-15,3258.5,0.3789
1992-01-16,3249.6,-0.2731
1992-01-17,3265.0,0.4739
1992-01-20,3254.0,-0.3369
1992-01-21,3223.4,-0.9404
1992-01-22,3255.8,1.0051
1992-01-23,3226.7,-0.8938
1992-01-24,3232.8,0.189
1992-01-27,3240.6,0.2413
1992-01-28,3272.1,0.972
1992-01-29,3225.0,-1.4394
1992-01-30,3244.9,0.6171
1992-01-31,3223.4,-0.6626
1992-02-03,3234.1,0.3319
1992-02-04,3272.8,1.1966
1992-02-05,3257.6,-0.4644
1992-02-06,3255.6,-0.0614
1992-02-07,3225.4,-0.9276
1992-02-10,3245.1,0.6108
1992-02-11,3251.6,0.2003
1992-02-12,3276.8,0.775
1992-02-13,3246.7,-0.9186
1992-02-14,3246.0,-0.0216
1992-02-18,3224.7,-0.6562
1992-02-19,3230.3,0.1737
1992-02-20,3280.6,1.5571
1992-02-21,3280.2,-0.0122
1992-02-24,3282.4,0.0671
1992-02-25,3257.8,-0.7495
1992-02-26,3283.3,0.7827
1992-02-27,3269.5,-0.4203
1992-02-28,3267.7,-0.0551
1992-03-02,3275.3,0.2326
1992-03-03,3290.3,0.458
1992-03-04,3268.6,-0.6595
1992-03-05,3241.5,-0.8291
1992-03-06,3221.6,-0.6139
1992-03-09,3215.1,-0.2018
1992-03-10,3231.0,0.4945
1992-03-11,3208.6,-0.6933
1992-03-12,3208.6,0.0
1992-03-13,3235.9,0.8508
1992-03-16,3236.4,0.0155
1992-03-17,3256.0,0.6056
1992-03-18,3254.3,-0.0522
1992-03-19,3261.4,0.2182
1992-03-20,3276.4,0.4599
1992-03-23,3272.1,-0.1312
1992-03-24,3261.0,-0.3392
1992-03-25,3259.4,-0.0491
1992-03-26,3267.7,0.2546
1992-03-27,3231.4,-1.1109
1992-03-30,3235.2,0.1176
1992-03-31,3235.5,0.0093
1992-04-01,3249.3,0.4265
1992-04-02,3234.1,-0.4678
1992-04-03,3249.1,0.4638
1992-04-06,3275.5,0.8125
1992-04-07,3213.6,-1.8898
1992-04-08,3181.4,-1.002
1992-04-09,3225.0,1.3705
1992-04-10,3255.4,0.9426
1992-04-13,3269.9,0.4454
1992-04-14,3306.1,1.1071
1992-04-15,3353.8,1.4428
1992-04-16,3366.5,0.3787
1992-04-20,3336.3,-0.8971
1992-04-21,3343.3,0.2098
1992-04-22,3338.8,-0.1346
1992-04-23,3348.6,0.2935
1992-04-24,3324.5,-0.7197
1992-04-27,3304.56,-0.5998
1992-04-28,3307.9,0.1011
1992-04-29,3333.2,0.7648
1992-04-30,3359.1,0.777
1992-05-01,3336.1,-0.6847
1992-05-04,3378.1,1.259
1992-05-05,3359.4,-0.5536
1992-05-06,3369.4,0.2977
1992-05-07,3363.4,-0.1781
1992-05-08,3369.4,0.1784
1992-05-11,3397.6,0.8369
1992-05-12,3385.1,-0.3679
1992-05-13,3392.0,0.2038
1992-05-14,3368.9,-0.681
1992-05-15,3353.1,-0.469
1992-05-18,3376.0,0.683
1992-05-19,3398.0,0.6517
1992-05-20,3393.8,-0.1236
1992-05-21,3378.7,-0.4449
1992-05-22,3386.8,0.2397
1992-05-26,3364.2,-0.6673
1992-05-27,3370.4,0.1843
1992-05-28,3398.4,0.8308
1992-05-29,3396.9,-0.0441
1992-06-01,3413.2,0.4798
1992-06-02,3396.1,-0.501
1992-06-03,3407.0,0.321
1992-06-04,3399.7,-0.2143
1992-06-05,3398.7,-0.0294
1992-06-08,3404.1,0.1589
1992-06-09,3369.9,-1.0047
1992-06-10,3343.2,-0.7923
1992-06-11,3351.5,0.2483
1992-06-12,3354.4,0.0865
1992-06-15,3354.9,0.0149
1992-06-16,3329.5,-0.7571
1992-06-17,3287.8,-1.2524
1992-06-18,3274.1,-0.4167
1992-06-19,3285.4,0.3451
1992-06-22,3280.8,-0.14
1992-06-23,3285.6,0.1463
1992-06-24,3290.7,0.1552
1992-06-25,3284.0,-0.2036
1992-06-26,3282.4,-0.0487
1992-06-29,3319.86,1.1412
1992-06-30,3318.5,-0.041
1992-07-01,3354.1,1.0728
1992-07-02,3330.3,-0.7096
1992-07-06,3339.2,0.2672
1992-07-07,3295.2,-1.3177
1992-07-08,3293.3,-0.0577
1992-07-09,3324.1,0.9352
1992-07-10,3330.6,0.1955
1992-07-13,3337.3,0.2012
